config_name,lwe_dimension,glwe_dimension,polynomial_size,lwe_noise_tag,lwe_gaussian_std,lwe_tuniform_bound_log2,glwe_noise_tag,glwe_gaussian_std,glwe_tuniform_bound_log2,pbs_base_log,pbs_level,ks_base_log,ks_level,message_modulus,carry_modulus,max_noise_level,log2_p_fail,modulus_power_of_2_exponent,encryption_key_choice,ms_tag,ms_modulus_switch_zeros_count,ms_bound,ms_r_sigma_factor,ms_input_variance
SHORTINT_V0_11_PARAM_MESSAGE_2_CARRY_2_PBS_KS_GAUSSIAN_2M64,944,1,2048,0,5.32694e-07,0,0,2.84527e-15,0,23,1,3,6,4,4,5,-64.107,64,Small,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_2_CARRY_3_COMPACT_PK_KS_PBS_GAUSSIAN_2M64,902,1,4096,0,1.09948e-06,0,0,2.1684e-19,0,15,2,3,6,4,8,10,-64.084,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_2_CARRY_3_KS_PBS_GAUSSIAN_2M64,902,1,4096,0,1.09948e-06,0,0,2.1684e-19,0,15,2,3,6,4,8,10,-64.084,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_2_CARRY_4_COMPACT_PK_KS_PBS_GAUSSIAN_2M64,977,1,8192,0,3.01444e-07,0,0,2.1684e-19,0,15,2,3,6,4,16,21,-64.078,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_2_CARRY_4_KS_PBS_GAUSSIAN_2M64,977,1,8192,0,3.01444e-07,0,0,2.1684e-19,0,15,2,3,6,4,16,21,-64.078,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_2_CARRY_5_COMPACT_PK_KS_PBS_GAUSSIAN_2M64,1052,1,16384,0,8.26468e-08,0,0,2.1684e-19,0,11,3,3,7,4,32,42,-64.151,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_2_CARRY_5_KS_PBS_GAUSSIAN_2M64,1052,1,16384,0,8.26468e-08,0,0,2.1684e-19,0,11,3,3,7,4,32,42,-64.151,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_2_CARRY_6_COMPACT_PK_KS_PBS_GAUSSIAN_2M64,1114,1,32768,0,2.83567e-08,0,0,2.1684e-19,0,9,4,2,11,4,64,85,-64.001,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_2_CARRY_6_KS_PBS_GAUSSIAN_2M64,1114,1,32768,0,2.83567e-08,0,0,2.1684e-19,0,9,4,2,11,4,64,85,-64.001,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_3_CARRY_0_KS_PBS_GAUSSIAN_2M64,857,2,1024,0,2.38988e-06,0,0,2.84527e-15,0,23,1,5,3,8,1,1,-64.193,64,Big,0,0,0,0,0
